id,城市,编号
1,鞍山,101070300
2,阿拉善盟,101081200
3,安康,101110700
4,阿克苏地区,101131000
5,阿勒泰地区,101131500
6,阿拉尔,101131700
7,阿里地区,101140700
8,安阳,101180200
9,安庆,101220600
10,安顺,101260300
11,阿坝藏族羌族自治州,101271900
12,澳门,101330100
1,北京,101010100
2,白城,101060500
3,白山,101060800
4,本溪,101070500
5,包头,101080200
6,巴彦淖尔,101080800
7,保定,101090200
8,宝鸡,101110900
9,滨州,101121100
10,巴音郭楞蒙古自治州,101130400
11,博尔塔拉蒙古自治州,101130500
12,北屯市,101132100
13,白银,101161000
14,蚌埠,101220200
15,亳州,101220900
16,毕节,101260500
17,巴中,101270900
18,保山,101290300
19,百色,101301000
20,北海,101301300
21,白沙黎族自治县,101311400
22,保亭黎族苗族自治县,101311800
1,重庆,101040100
2,长春,101060100
3,朝阳,101071200
4,赤峰,101080500
5,承德,101090400
6,沧州,101090700
7,长治,101100500
8,昌吉回族自治州,101130300
9,昌都,101140300
10,常州,101191100
11,滁州,101221000
12,池州,101221500
13,长沙,101250100
14,郴州,101250500
15,常德,101250600
16,成都,101270100
17,潮州,101281500
18,楚雄彝族自治州,101291700
19,崇左,101300200
20,澄迈,101311200
21,昌江黎族自治县,101311500
1,大庆,101050800
2,大兴安岭地区,101051300
3,大连,101070200
4,丹东,101070600
5,大同,101100200
6,德州,101120400
7,东营,101121200
8,定西,101160200
9,达州,101270600
10,德阳,101271700
11,东莞,101281600
12,东沙群岛,101282200
13,德宏傣族景颇族自治州,101291300
14,迪庆藏族自治州,101291500
15,大理白族自治州,101291600
16,儋州,101310400
17,东方,101310900
18,定安,101311000
1,鄂尔多斯,101080600
2,鄂州,101200300
3,恩施土家族苗族自治州,101201300
1,抚顺,101070400
2,阜新,101070900
3,阜阳,101220800
4,福州,101230100
5,抚州,101240400
6,佛山,101280800
7,防城港,101301400
1,果洛藏族自治州,101150600
2,甘南藏族自治州,101161400
3,固原,101170400
4,赣州,101240700
5,贵阳,101260100
6,广安,101270800
7,广元,101271800
8,甘孜藏族自治州,101272100
9,广州,101280100
10,桂林,101300500
11,贵港,101300800
1,哈尔滨,101050100
2,黑河,101050600
3,鹤岗,101051100
4,葫芦岛,101071400
5,呼和浩特,101080100
6,呼伦贝尔,101080700
7,衡水,101090800
8,邯郸,101091000
9,汉中,101110800
10,菏泽,101121000
11,哈密,101130900
12,和田地区,101131300
13,胡杨河市,101132600
14,海东,101150200
15,海北藏族自治州,101150300
16,黄南藏族自治州,101150400
17,海南藏族自治州,101150500
18,海西蒙古族藏族自治州,101150800
19,鹤壁,101181200
20,淮安,101190900
21,黄冈,101200500
22,黄石,101200600
23,杭州,101210100
24,湖州,101210200
25,合肥,101220100
26,淮南,101220400
27,淮北,101221100
28,黄山,101221600
29,衡阳,101250400
30,怀化,101251200
31,惠州,101280300
32,河源,101281200
33,红河哈尼族彝族自治州,101291200
34,贺州,101300700
35,河池,101301200
36,海口,101310100
1,佳木斯,101050400
2,鸡西,101051000
3,吉林,101060200
4,锦州,101070700
5,晋中,101100400
6,晋城,101100600
7,济南,101120100
8,济宁,101120700
9,金昌,101160600
10,酒泉,101160800
11,嘉峪关,101161200
12,焦作,101181100
13,济源,101181800
14,荆州,101200800
15,荆门,101201200
16,嘉兴,101210300
17,金华,101210900
