岗位名称,工作地址,学历要求,工作经验,工作标签,企业名称,企业规模,企业福利,实习生,最低薪资,最高薪资
游戏客户端开发,上海,本科,经验不限,"Unity3D,Cocos Creator,Lua,手游开发经验",腾讯,10000人以上,"补充医疗保险,免费早晚餐,定期体检,零食下午茶,股票期权,住房补贴,员工旅游,节日福利,包吃,免费健身房,餐补,带薪年假,公仔周边活动,五险一金,免费班车,交通补助,年终奖",0,12000,24000
游戏UNITY客户端技术-GTS,上海,本科,5-10年,"Unity3D,二次元,本地化,游戏客户端",bilibili,10000人以上,"餐补,通讯补贴,年终奖,五险一金,定期体检,股票期权,节日福利,包吃,带薪年假,全勤奖,交通补助,员工旅游,补充医疗保险,零食下午茶,15薪",0,30000,40000
硬件测试工程师/专家,上海,本科,5-10年,"智能硬件类,通信设备类,硬件测试经验",千寻位置,1000-9999人,"定期体检,年终奖,节日福利,餐补,五险一金,补充医疗保险,员工旅游,带薪年假,股票期权",0,20000,35000
前端工程开发师,上海,本科,3-5年,"小程序,Web前端,Vue,React,Angular,HTML5,JavaScript",逆跳科技,20-99人,"交通补助,五险一金,补充医疗保险,有无线网,定期体检,员工旅游,节日福利,零食下午茶,股票期权,团建聚餐,年终奖,餐补,带薪年假,14薪",0,12000,15000
高级/资深测试开发工程师,上海,本科,5-10年,"自动化测试,性能测试,Java,MySQL,Shell",唯品会,10000人以上,"零食下午茶,住房补贴,带薪年假,股票期权,年终奖,全勤奖,免费班车,通讯补贴,节日福利,包吃,定期体检,员工旅游,五险一金,补充医疗保险,交通补助,14薪",0,20000,40000
游戏测试工程师,上海,大专,1-3年,"SDK,海外版测试,乙女游戏",泓屹天成,100-499人,"生日福利,补充医疗保险,年终奖,五险一金,带薪年假,员工旅游,通讯补贴,定期体检,保底工资,团建聚餐,节日福利,节假日加班费,绩效奖金,股票期权,底薪加提成,意外险,企业年金,零食下午茶",0,9000,11000
测试工程师,上海,大专,5-10年,"自动化测试,自动化测试经验,Python,robotframework",Testin 云测,500-999人,"节日福利,带薪年假,五险一金,年终奖,定期体检,补充医疗保险",0,13000,20000
校园招聘-前端开发工程师,上海,本科,在校/应届,"JavaScript,计算机,软件工程相关专业,前端开发经验",宝尊电商,1000-9999人,"补充医疗保险,定期体检,五险一金,年终奖,餐补,免费班车,带薪年假,股票期权,员工旅游,加班补助,节日福利",0,10000,12000
测试工程师,上海,本科,1-3年,"功能测试,Java,Python,计算机相关专业,测试工作经验",乐享似锦,500-999人,"节日福利,假期类,节假日加班费,五险一金,年终奖,绩效奖金,法定节假日三薪,职业发展类,零食下午茶,定期体检,带薪年假,高温补贴,交通补助,股票期权,活动类,13薪",0,12000,15000
前端开发工程师,上海,本科,3-5年,"React,Vue,Angular",神州新桥,1000-9999人,"五险一金,员工旅游,年终奖,海外游,带薪年假,通讯补贴,餐补,补充医疗保险,节日福利,定期体检,13薪",0,16000,18000
安卓开发工程师,上海,本科,3-5年,"Android客户端产品研发,架构设计,优化,研发流程优化,Java",七猫,500-999人,"包吃,年终奖,定期体检,零食下午茶,高端办公硬件,俱乐部补贴,补充医疗保险,股票期权,带薪年假,节日福利,五险一金,交通补助,餐补,员工旅游,14薪",0,20000,35000
测试工程师,上海,本科,1-3年,"性能测试,功能测试,Python,测试工作经验,web端测试",北京百度网讯有限公司,10000人以上,"年终奖,交通补助,通讯补贴,零食下午茶,员工旅游,团队nice,不打卡,包吃,带薪年假,股票期权,餐补,工作氛围好,补充医疗保险,免费班车,节日福利,定期体检,五险一金",0,12000,23000
U3D游戏开发,上海,本科,3-5年,"Unity3D,3D游戏客户端开发经验,Unity3D开发经验",祥埻,20-99人,"绩效奖金,13薪",0,18000,35000
IOS开发,上海,本科,1-3年,"MVC开发,IOS,移动端",一嗨租车,1000-9999人,"节日福利,法定节假日三薪,年终奖,餐补,节假日加班费,员工旅游,通讯补贴,交通补助,加班补助,五险一金,全勤奖,带薪年假,13薪",0,11000,18000
测试开发工程师,上海,本科,5-10年,"功能测试,性能测试,Java,Python,C++,计算机相关专业",北京镜舟科技有限公司,100-499人,"五险一金,生日福利,节日福利,带薪年假,定期体检,绩效奖金,年终奖,零食下午茶,员工旅游,补充医疗保险,股票期权,16薪",0,20000,40000
安卓开发工程师,上海,本科,3-5年,"Java,Eclipse,AndroidStudio,IDEA",淡竹体育科技,20-99人,"加班补助,补充医疗保险,带薪年假,五险一金,定期体检,年终奖,股票期权,全勤奖,零食下午茶,节日福利,员工旅游",0,15000,30000
IOS开发工程师,上海,本科,1-3年,"Objective-C,Swift,IOS",领涨财讯,20-99人,"五险一金,加班补助,带薪年假,零食下午茶",0,9000,13000
ANDROID开发工程师,上海,本科,经验不限,"Android客户端产品研发,Java,Android开发经验",上海乐其爱科技有...,100-499人,"定期体检,年终奖,五险一金,加班补助,节日福利,零食下午茶,员工旅游,团建聚餐,带薪年假,生日福利,全勤奖",0,9000,14000
测试工程师,上海,本科,1-3年,"功能测试,自动化测试,性能测试",上海恒虎信息技术,100-499人,"生日福利,通讯补贴,五险一金,有无线网,定期体检,年终奖,节日福利,带薪年假,16薪",0,15000,20000
资深前端开发工程师,上海,本科,3-5年,"前端开发,React",一三三七,20-99人,"节日福利,补充医疗保险,定期体检,团建聚餐,餐补,年终奖,员工旅游,五险一金,股票期权,带薪年假,生日福利,零食下午茶",0,30000,60000
ANDROID/安卓开发工程师,上海,本科,3-5年,Android,大智慧,1000-9999人,"带薪年假,餐补,股票期权,年终奖,节日福利,定期体检,五险一金,零食下午茶",0,15000,25000
测试运维工程师,上海,本科,经验不限,"性能测试,功能测试,自动化测试,掌握软件测试理论和流程",autowise,100-499人,"五险一金,定期体检,年终奖,带薪年假,员工旅游,节日福利,零食下午茶,生活补贴",0,6000,7000
前端开发-财务技术,上海,本科,3-5年,"Vue,前端开发经验,不限,不接受居家办公,大厂经验",上海行吟信息科技,1000-9999人,"无,14薪",0,25000,45000
高级IOS开发工程师,上海,本科,5-10年,"技术方案规划,架构设计,功能开发,Swift,多线程编程能力",上海银壳,20-99人,无,0,18000,24000
测试工程师,上海,大专,5-10年,"功能测试,自动化测试,测试工作经验",众智千里,100-499人,"加班补助,年终奖,带薪年假,五险一金,补充医疗保险,定期体检,节日福利,交通补助,餐补",0,10000,13000
测试工程师,上海,本科,5-10年,测试工作经验,白龙马云行科技,100-499人,"带薪年假,包吃,零食下午茶,年终奖,节日福利,五险一金,定期体检,14薪",0,20000,40000
安卓开发工程师,上海,本科,3-5年,"MVC开发,MVC,MVP,Flutter",领视科技,100-499人,"团建聚餐,生日福利,不定期团建,绩效奖金,股票期权",0,14000,20000
自动化测试工程师,上海,本科,3-5年,"Python,C++",赢敬电子,20-99人,"员工旅游,通讯补贴,餐补,交通补助,五险一金,带薪年假,加班补助,节日福利,年终奖,13薪",0,13000,24000
前端开发工程师,上海,本科,1-3年,"Vue,前端开发经验",赞同科技,1000-9999人,"节日福利,定期体检,带薪年假,补充公积金,五险一金,出差补助",0,9000,12000
ANDROID开发工程师,上海,本科,1年以内,"Java,C,C++,安卓开发",卓易科技,100-499人,"员工旅游,节日福利,股票期权,定期体检,人才引进落户,年终奖,自带健身房,带薪年假,零食下午茶,五险一金",0,8000,13000
前端工程师,上海,本科,3-5年,"React,Vue",派申网络,20-99人,"五险一金,定期体检",0,12000,18000
